# start	end	mode	name  (end = start+size-1; 0 = size unknown)
0x0800A03C	0x0800A03F	thumb	LinkDummy_Return2
0x0800A040	0x0800A063	thumb	IsFullLinkGroupWithNoRS
0x0800A064	0x0800A07B	thumb	Link_AnyPartnersPlayingRubyOrSapphire
0x0800A07C	0x0800A0A9	thumb	Link_AnyPartnersPlayingFRLG_JP
0x0800A0AC	0x0800A0C7	thumb	OpenLinkTimed
0x0800A0C8	0x0800A23B	thumb	GetLinkPlayerDataExchangeStatusTimed
0x0800A23C	0x0800A2A3	thumb	IsLinkPlayerDataExchangeComplete
0x0800A2A4	0x0800A2BB	thumb	GetLinkPlayerTrainerId
0x0800A2BC	0x0800A2DF	thumb	ResetLinkPlayers
0x0800A2E0	0x0800A2F3	thumb	ResetBlockSend
0x0800A2F4	0x0800A363	thumb	InitBlockSend
0x0800A364	0x0800A387	thumb	LinkCB_BlockSendBegin
0x0800A388	0x0800A3EB	thumb	LinkCB_BlockSend
0x0800A3EC	0x0800A3F7	thumb	LinkCB_BlockSendEnd
0x0800A3F8	0x0800A417	thumb	LinkCB_BerryBlenderSendHeldKeys
0x0800A418	0x0800A44B	thumb	SetBerryBlenderLinkCallback
0x0800A44C	0x0800A457	thumb	GetBerryBlenderKeySendAttempts
0x0800A458	0x0800A467	thumb	SendBerryBlenderNoSpaceForPokeblocks
0x0800A468	0x0800A48F	thumb	GetMultiplayerId
0x0800A490	0x0800A4AB	thumb	BitmaskAllOtherLinkPlayers
0x0800A4AC	0x0800A4D5	thumb	SendBlock
0x0800A4D8	0x0800A51F	thumb	SendBlockRequest
0x0800A520	0x0800A54F	thumb	IsLinkTaskFinished
0x0800A550	0x0800A587	thumb	GetBlockReceivedStatus
0x0800A588	0x0800A5B3	thumb	SetBlockReceivedFlag
0x0800A5B4	0x0800A5EB	thumb	ResetBlockReceivedFlags
0x0800A5EC	0x0800A61F	thumb	ResetBlockReceivedFlag
0x0800A620	0x0800A647	thumb	CheckShouldAdvanceLinkState
0x0800A648	0x0800A675	thumb	LinkTestCalcBlockChecksum
0x0800A678	0x0800A6AF	thumb	LinkTest_PrintNumChar
0x0800A6B0	0x0800A6E7	thumb	LinkTest_PrintChar
0x0800A6E8	0x0800A73B	thumb	LinkTest_PrintHex
0x0800A73C	0x0800A7D9	thumb	LinkTest_PrintInt
0x0800A7DC	0x0800A821	thumb	LinkTest_PrintString
0x0800A824	0x0800A84F	thumb	LinkCB_RequestPlayerDataExchange
0x0800A850	0x0800A993	thumb	Task_PrintTestData
0x0800A994	0x0800A9A7	thumb	SetLinkDebugValues
0x0800A9A8	0x0800A9D7	thumb	GetSavedLinkPlayerCountAsBitFlags
0x0800A9D8	0x0800AA01	thumb	GetLinkPlayerCountAsBitFlags
0x0800AA04	0x0800AA47	thumb	SaveLinkPlayers
0x0800AA48	0x0800AA53	thumb	GetSavedPlayerCount
0x0800AA54	0x0800AA5F	thumb	GetSavedMultiplayerId
0x0800AA60	0x0800AAF1	thumb	DoesLinkPlayerCountMatchSaved
0x0800AAF4	0x0800AB17	thumb	ClearSavedLinkPlayers
0x0800AB18	0x0800AB97	thumb	CheckLinkPlayersMatchSaved
0x0800AB98	0x0800ABAB	thumb	ResetLinkPlayerCount
0x0800ABAC	0x0800ABBB	thumb	GetLinkPlayerCount_2
0x0800ABBC	0x0800ABE7	thumb	IsLinkMaster
0x0800ABE8	0x0800ABF3	thumb	GetDummy2
0x0800ABF4	0x0800AC33	thumb	SetCloseLinkCallbackAndType
0x0800AC34	0x0800AC7F	thumb	SetCloseLinkCallback
0x0800AC80	0x0800ACAB	thumb	LinkCB_ReadyCloseLink
0x0800ACAC	0x0800AD0F	thumb	LinkCB_WaitCloseLink
0x0800AD10	0x0800AD5B	thumb	SetCloseLinkCallbackHandleJP
0x0800AD5C	0x0800AD87	thumb	LinkCB_ReadyCloseLinkWithJP
0x0800AD88	0x0800ADF7	thumb	LinkCB_WaitCloseLinkWithJP
0x0800ADF8	0x0800AE2F	thumb	SetLinkStandbyCallback
0x0800AE30	0x0800AE5B	thumb	LinkCB_Standby
0x0800AE5C	0x0800AEB3	thumb	LinkCB_StandbyForAll
0x0800AEB4	0x0800AF17	thumb	TrySetLinkErrorBuffer
0x0800AF18	0x0800AF2F	thumb	SetLinkErrorBuffer
0x0800AF30	0x0800B07F	thumb	CB2_LinkError
0x0800B080	0x0800B137	thumb	ErrorMsg_MoveCloserToPartner
0x0800B138	0x0800B19F	thumb	ErrorMsg_CheckConnections
0x0800B1A0	0x0800B2E7	thumb	CB2_PrintErrorMessage
0x0800B2E8	0x0800B2F7	thumb	GetSioMultiSI
