# addr	mode	name  (STT_FUNC from a byte-matching decomp ELF; blank name = let the finder synthesise one)
0x0800A2E0	thumb	ResetBlockSend
0x0800A2F4	thumb	InitBlockSend
0x0800A364	thumb	LinkCB_BlockSendBegin
0x0800A388	thumb	LinkCB_BlockSend
0x0800A3EC	thumb	LinkCB_BlockSendEnd
0x0800A3F8	thumb	LinkCB_BerryBlenderSendHeldKeys
0x0800A418	thumb	SetBerryBlenderLinkCallback
0x0800A44C	thumb	GetBerryBlenderKeySendAttempts
0x0800A458	thumb	SendBerryBlenderNoSpaceForPokeblocks
0x0800A468	thumb	GetMultiplayerId
0x0800A490	thumb	BitmaskAllOtherLinkPlayers
0x0800A4AC	thumb	SendBlock
0x0800A4D8	thumb	SendBlockRequest
0x0800A520	thumb	IsLinkTaskFinished
0x0800A550	thumb	GetBlockReceivedStatus
0x0800A588	thumb	SetBlockReceivedFlag
0x0800A5B4	thumb	ResetBlockReceivedFlags
0x0800A5EC	thumb	ResetBlockReceivedFlag
0x0800A620	thumb	CheckShouldAdvanceLinkState
0x0800A648	thumb	LinkTestCalcBlockChecksum
0x0800A678	thumb	LinkTest_PrintNumChar
0x0800A6B0	thumb	LinkTest_PrintChar
0x0800A6E8	thumb	LinkTest_PrintHex
0x0800A73C	thumb	LinkTest_PrintInt
0x0800A7DC	thumb	LinkTest_PrintString
0x0800A824	thumb	LinkCB_RequestPlayerDataExchange
0x0800A850	thumb	Task_PrintTestData
0x0800A994	thumb	SetLinkDebugValues
0x0800A9A8	thumb	GetSavedLinkPlayerCountAsBitFlags
0x0800A9D8	thumb	GetLinkPlayerCountAsBitFlags
0x0800AA04	thumb	SaveLinkPlayers
0x0800AA48	thumb	GetSavedPlayerCount
0x0800AA54	thumb	GetSavedMultiplayerId
0x0800AA60	thumb	DoesLinkPlayerCountMatchSaved
0x0800AAF4	thumb	ClearSavedLinkPlayers
0x0800AB18	thumb	CheckLinkPlayersMatchSaved
0x0800AB98	thumb	ResetLinkPlayerCount
0x0800ABAC	thumb	GetLinkPlayerCount_2
0x0800ABBC	thumb	IsLinkMaster
0x0800ABE8	thumb	GetDummy2
0x0800ABF4	thumb	SetCloseLinkCallbackAndType
0x0800AC34	thumb	SetCloseLinkCallback
0x0800AC80	thumb	LinkCB_ReadyCloseLink
0x0800ACAC	thumb	LinkCB_WaitCloseLink
0x0800AD10	thumb	SetCloseLinkCallbackHandleJP
0x0800AD5C	thumb	LinkCB_ReadyCloseLinkWithJP
0x0800AD88	thumb	LinkCB_WaitCloseLinkWithJP
0x0800ADF8	thumb	SetLinkStandbyCallback
0x0800AE30	thumb	LinkCB_Standby
0x0800AE5C	thumb	LinkCB_StandbyForAll
0x0800AEB4	thumb	TrySetLinkErrorBuffer
0x0800AF18	thumb	SetLinkErrorBuffer
0x0800AF30	thumb	CB2_LinkError
0x0800B080	thumb	ErrorMsg_MoveCloserToPartner
0x0800B138	thumb	ErrorMsg_CheckConnections
0x0800B1A0	thumb	CB2_PrintErrorMessage
0x0800B2E8	thumb	GetSioMultiSI
0x0800B2F8	thumb	IsSioMultiMaster
0x0800B320	thumb	IsLinkConnectionEstablished
0x0800B330	thumb	SetSuppressLinkErrorMessage
