# start	end	mode	name  (end = start+size-1; 0 = size unknown)
0x0800A9E0	0x0800AAC7	thumb	sub_0800A9E0
0x0800AAC8	0x0800AB63	thumb	sub_0800AAC8
0x0800AB64	0x0800AB73	thumb	sub_0800AB64
0x0800AB74	0x0800AC9F	thumb	sub_0800AB74
0x0800ACA0	0x0800AD6B	thumb	sub_0800ACA0
0x0800AD6C	0x0800ADBB	thumb	sub_0800AD6C
0x0800ADBC	0x0800AE2B	thumb	sub_0800ADBC
0x0800AE2C	0x0800AF43	thumb	sub_0800AE2C
0x0800AF44	0x0800AFBF	thumb	sub_0800AF44
0x0800AFC0	0x0800B00B	thumb	sub_0800AFC0
0x0800B00C	0x0800B1FB	thumb	sub_0800B00C
0x0800B1FC	0x0800B357	thumb	sub_0800B1FC
0x0800B358	0x0800B473	thumb	sub_0800B358
0x0800B474	0x0800B503	thumb	sub_0800B474
0x0800B504	0x0800B613	thumb	sub_0800B504
0x0800B614	0x0800B63B	thumb	sub_0800B614
0x0800B63C	0x0800B65F	thumb	sub_0800B63C
0x0800B660	0x0800B7AB	thumb	sub_0800B660
0x0800B7AC	0x0800BB53	thumb	sub_0800B7AC
0x0800BB54	0x0800BBF1	thumb	sub_0800BB54
0x0800BBF4	0x0800BC47	thumb	sub_0800BBF4
0x0800BC48	0x0800BE03	thumb	sub_0800BC48
0x0800BE04	0x0800C02F	thumb	sub_0800BE04
0x0800C030	0x0800C10B	thumb	sub_0800C030
0x0800C10C	0x0800C693	thumb	sub_0800C10C
0x0800C694	0x0800CBDF	thumb	sub_0800C694
0x0800CBE0	0x0800CCA7	thumb	sub_0800CBE0
0x0800CCA8	0x0800CDCF	thumb	sub_0800CCA8
0x0800CDD0	0x0800D0EF	thumb	sub_0800CDD0
0x0800D0F0	0x0800D6EF	thumb	sub_0800D0F0
0x0800D6F0	0x0800D813	thumb	sub_0800D6F0
0x0800D814	0x0800DA8B	thumb	sub_0800D814
0x0800DA8C	0x0800E337	thumb	sub_0800DA8C
0x0800E338	0x0800E44F	thumb	sub_0800E338
0x0800E450	0x0800E49F	thumb	sub_0800E450
0x0800E4A0	0x0800E4FF	thumb	sub_0800E4A0
0x0800E500	0x0800E54F	thumb	sub_0800E500
0x0800E550	0x0800E5AF	thumb	sub_0800E550
0x0800E5B0	0x0800E5FB	thumb	sub_0800E5B0
0x0800E5FC	0x0800E653	thumb	sub_0800E5FC
0x0800E654	0x0800E69F	thumb	sub_0800E654
0x0800E6A0	0x0800E6FB	thumb	sub_0800E6A0
0x0800E6FC	0x0800E85B	thumb	sub_0800E6FC
0x0800E85C	0x0800E85F	thumb	nullsub_64
0x0800E860	0x0800EA37	thumb	sub_0800E860
0x0800EA38	0x0800EB9F	thumb	sub_0800EA38
0x0800EBA0	0x0800EBD7	thumb	sub_0800EBA0
0x0800EBD8	0x0800EBF7	thumb	sub_0800EBD8
0x0800EBF8	0x0800EC2F	thumb	sub_0800EBF8
0x0800EC30	0x0800ECC7	thumb	sub_0800EC30
0x0800ECC8	0x0800EDCB	thumb	sub_0800ECC8
0x0800EDCC	0x0800EE4F	thumb	sub_0800EDCC
0x0800EE50	0x0800EECF	thumb	sub_0800EE50
0x0800EED0	0x0800EF9B	thumb	sub_0800EED0
0x0800EF9C	0x0800EFF3	thumb	sub_0800EF9C
0x0800EFF4	0x0800F03F	thumb	sub_0800EFF4
0x0800F040	0x0800F313	thumb	sub_0800F040
0x0800F314	0x0800F453	thumb	sub_0800F314
0x0800F454	0x0800F57F	thumb	sub_0800F454
0x0800F580	0x0800F5EB	thumb	sub_0800F580
0x0800F5EC	0x0800F99B	thumb	sub_0800F5EC
0x0800F99C	0x0800FBFF	thumb	sub_0800F99C
0x0800FC00	0x0800FCE7	thumb	sub_0800FC00
0x0800FCE8	0x0800FDA7	thumb	sub_0800FCE8
0x0800FDA8	0x0800FDE7	thumb	sub_0800FDA8
