# addr	mode	name  (STT_FUNC from a byte-matching decomp ELF; blank name = let the finder synthesise one)
0x0801084C	thumb	sub_0801084C
0x0801097C	thumb	sub_0801097C
0x08010A40	thumb	sub_08010A40
0x08010C48	thumb	sub_08010C48
0x08010F58	thumb	sub_08010F58
0x0801124C	thumb	sub_0801124C
0x08011564	thumb	sub_08011564
0x080115C4	thumb	sub_080115C4
0x080117C4	thumb	sub_080117C4
0x080118D0	thumb	sub_080118D0
0x08011A40	thumb	sub_08011A40
0x08011A80	thumb	sub_08011A80
0x08011ABC	thumb	sub_08011ABC
0x08011BA4	thumb	sub_08011BA4
0x08011C58	thumb	sub_08011C58
0x08011DA4	thumb	sub_08011DA4
0x08011EC0	thumb	sub_08011EC0
0x08011F18	thumb	sub_08011F18
0x08011F74	thumb	sub_08011F74
0x08012028	thumb	draw_background
0x080120F4	thumb	sub_080120F4
0x0801216C	thumb	sub_0801216C
0x080121D0	thumb	sub_080121D0
0x08012210	thumb	sub_08012210
0x08012238	thumb	sub_08012238
0x0801230C	thumb	sub_0801230C
0x08012354	thumb	sub_08012354
0x080123B0	thumb	sub_080123B0
0x08012408	thumb	sub_08012408
0x08012464	thumb	sub_08012464
0x080124C0	thumb	sub_080124C0
0x080124F8	thumb	sub_080124F8
0x08012590	thumb	sub_08012590
0x0801263C	thumb	sub_0801263C
0x08012790	thumb	sub_08012790
0x080127BC	thumb	sub_080127BC
0x08012830	thumb	sub_08012830
0x080129BC	thumb	sub_080129BC
0x08012AD0	thumb	sub_08012AD0
0x08012BD8	thumb	sub_08012BD8
0x08012C1C	thumb	sub_08012C1C
0x08012C48	thumb	sub_08012C48
0x08012CBC	thumb	sub_08012CBC
0x08012CEC	thumb	sub_08012CEC
0x08012D50	thumb	sub_08012D50
0x08012DB0	thumb	sub_08012DB0
0x08012E50	thumb	sub_08012E50
0x08012EA8	thumb	sub_08012EA8
0x08012F2C	thumb	sub_08012F2C
0x08012FBC	thumb	sub_08012FBC
0x080131B0	thumb	sub_080131B0
0x080133A0	thumb	sub_080133A0
0x080133D8	thumb	sub_080133D8
0x08013578	thumb	sub_08013578
0x080135AC	thumb	sub_080135AC
0x0801365C	thumb	sub_0801365C
0x0801368C	thumb	sub_0801368C
0x080136BC	thumb	sub_080136BC
0x08013748	thumb	sub_08013748
0x08013778	thumb	sub_08013778
0x080137A8	thumb	sub_080137A8
0x08013880	thumb	sub_08013880
0x080138FC	thumb	sub_080138FC
0x08013998	thumb	sub_08013998
0x080139AC	thumb	sub_080139AC
0x080139FC	thumb	sub_080139FC
0x08013A34	thumb	sub_08013A34
0x08013A40	thumb	sub_08013A40
0x08013B6C	thumb	sub_08013B6C
0x08013C48	thumb	sub_08013C48
0x08013CC8	thumb	sub_08013CC8
0x08013D38	thumb	sub_08013D38
0x08013EB8	thumb	sub_08013EB8
0x0801402C	thumb	sub_0801402C
0x08014074	thumb	sub_08014074
0x080140D0	thumb	sub_080140D0
0x080141D0	thumb	sub_080141D0
0x08014244	thumb	sub_08014244
0x080142F0	thumb	sub_080142F0
0x0801439C	thumb	sub_0801439C
0x08014464	thumb	sub_08014464
0x080144E8	thumb	sub_080144E8
0x08014584	thumb	sub_08014584
0x080145A8	thumb	sub_080145A8
0x080145BC	thumb	sub_080145BC
0x080145F4	thumb	sub_080145F4
0x08014640	thumb	sub_08014640
0x0801468C	thumb	sub_0801468C
0x08014798	thumb	sub_08014798
0x0801480C	thumb	sub_0801480C
0x080148D4	thumb	sub_080148D4
0x080149D4	thumb	sub_080149D4
0x08014A40	thumb	sub_08014A40
0x08014AEC	thumb	sub_08014AEC
0x08014B98	thumb	sub_08014B98
0x08014C84	thumb	sub_08014C84
0x08014CFC	thumb	sub_08014CFC
0x08014D74	thumb	sub_08014D74
0x08014DEC	thumb	sub_08014DEC
0x08014E04	thumb	sub_08014E04
0x08014E1C	thumb	sub_08014E1C
0x08014EB0	thumb	sub_08014EB0
0x08014F28	thumb	sub_08014F28
0x08014FAC	thumb	sub_08014FAC
0x08014FE0	thumb	sub_08014FE0
0x08015090	thumb	sub_08015090
0x080150F8	thumb	sub_080150F8
0x08015174	thumb	sub_08015174
0x0801526C	thumb	sub_0801526C
0x08015278	thumb	sub_08015278
0x080152B4	thumb	sub_080152B4
0x080152E0	thumb	sub_080152E0
0x08015360	thumb	sub_08015360
0x08015440	thumb	sub_08015440
0x080154C0	thumb	sub_080154C0
0x08015540	thumb	sub_08015540
0x080155C0	thumb	sub_080155C0
0x08015668	thumb	sub_08015668
0x08015730	thumb	sub_08015730
0x080157C4	thumb	sub_080157C4
0x08015844	thumb	sub_08015844
0x080158C4	thumb	sub_080158C4
0x080158F0	thumb	sub_080158F0
0x0801591C	thumb	sub_0801591C
0x08015988	thumb	sub_08015988
0x08015A64	thumb	sub_08015A64
0x08015CEC	thumb	sub_08015CEC
0x08015E50	thumb	sub_08015E50
0x08015ED0	thumb	sub_08015ED0
0x08015F50	thumb	sub_08015F50
0x08015FD0	thumb	sub_08015FD0
0x0801603C	thumb	sub_0801603C
0x08016108	thumb	sub_08016108
0x080161D4	thumb	sub_080161D4
0x080162A8	thumb	sub_080162A8
0x0801632C	thumb	sub_0801632C
0x080163E4	thumb	sub_080163E4
0x0801645C	thumb	sub_0801645C
0x08016528	thumb	sub_08016528
0x080166D8	thumb	sub_080166D8
0x080167B0	thumb	sub_080167B0
0x0801685C	thumb	sub_0801685C
0x080168D8	thumb	sub_080168D8
0x08016984	thumb	sub_08016984
0x08016A18	thumb	sub_08016A18
0x08016A28	thumb	sub_08016A28
0x08016A48	thumb	sub_08016A48
0x08016A60	thumb	sub_08016A60
0x08016A80	thumb	sub_08016A80
0x08016AA0	thumb	nullsub_65
0x08016AA4	thumb	nullsub_66
0x08016AA8	thumb	sub_08016AA8
0x08016AE4	thumb	sub_08016AE4
0x08016AF4	thumb	sub_08016AF4
0x08016B14	thumb	sub_08016B14
0x08016B34	thumb	sub_08016B34
0x08016B54	thumb	sub_08016B54
0x08016B6C	thumb	sub_08016B6C
0x08016BB4	thumb	nullsub_67
0x08016BB8	thumb	sub_08016BB8
0x08016BC4	thumb	sub_08016BC4
0x08016BE4	thumb	sub_08016BE4
0x08016C04	thumb	sub_08016C04
0x08016C10	thumb	sub_08016C10
0x08016C1C	thumb	sub_08016C1C
0x08016C28	thumb	sub_08016C28
0x08016C34	thumb	sub_08016C34
0x08016C40	thumb	sub_08016C40
0x08016C4C	thumb	sub_08016C4C
0x08016C58	thumb	sub_08016C58
0x08016C64	thumb	sub_08016C64
0x08016C70	thumb	sub_08016C70
0x08016C7C	thumb	sub_08016C7C
0x08016C88	thumb	sub_08016C88
0x08016C94	thumb	sub_08016C94
0x08016CA0	thumb	sub_08016CA0
0x08016CB0	thumb	sub_08016CB0
